Course Name,University / Industry Partner Name,Difficulty Level,Course Rating,Course URL,Course Description,all_skill
The Development of Mobile Health Monitoring Systems,Saint Petersburg State University,Advanced,4,https://www.coursera.org/learn/mobile-health-monitoring-systems,"This join course created by SPSU and ETU  includes 5 modules dedicated to different stages of the system development. Its modules represent several widely separated fields of biomedical engineering. We interconnect them by applying the knowledge from them all to a common task � the development of a prototype of an mHealth ECG system with built-in data-driven signal processing and analysis. Working on this task throughout the course, you will acquire a knowledge on how these branches of science, including electronics, mathematics, data science and programming are applied together in a real project. Pieces of hardware and software, as well as the data sets that we utilize in this course are the same components that we use in our work developing prototypes of devices and algorithms for our tasks in science and engineering.\nThe course is a joint work of Saint Petersburg State University and Saint Petersburg Electrotechnical University ETU (""LETI"").\nNote that the goal of the course is not to provide you with fundamental knowledge on any of the topics highlighted in the modules, but to give you some useful skills on implementing them in practical tasks using MATLAB environment (the course requires a licences copy of MATLAB).",biomedical engineering  serial port  remote patient monitoring  com file  interfaces  labview  Algorithms  rs-232  arduino  spectral density estimation computer-science design-and-product
3D Printing Software,University of Illinois at Urbana-Champaign,Advanced,4.6,https://www.coursera.org/learn/3d-printing-software,"This course will demonstrate how to use 3D printing software to create digital designs that can be turned into physical objects. It will also demonstrate how 3D scanners work to turn physical objects into digital designs. This course is hands-on in nature and will provide step-by-step instructions to guide you through two popular 3D modeling programs, Tinkercad and Fusion 360. Learners who complete this course will be able to use 3D software to design a wide variety of objects for both personal and professional use. In addition, learners who enroll in the course certificate will receive extended free access to Fusion 360 (provided by Autodesk).\n\nPlease copy/paste the following links to your browser's search bar to view the requirements for each of the following software elements used in this course:\n\nSketchbook: https://support.sketchbook.com/hc/en-us/articles/209671938-SketchBook-Desktop-System-Requirements\n\nTinkercad: https://support.tinkercad.com/hc/en-us/articles/205849108-What-are-Tinkercad-s-Browser-and-Platform-requirements-\n\nAutodesk Fusion 360: https://knowledge.autodesk.com/support/fusion-360/troubleshooting/caas/sfdcarticles/sfdcarticles/System-requirements-for-Autodesk-Fusion-360.html\n\nSketchfab: https://help.sketchfab.com/hc/en-us/articles/203059088-Compatibility\n\n123D Catch: Same as Tinkercad",software  3D Printing  interfaces  3d modeling  Mechanical Engineering  Chemical Engineering  Scanning  industrial design  user interface  3d scanner business entrepreneurship
Building Web Applications in Django,University of Michigan,Conversant,4.6,https://www.coursera.org/learn/django-build-web-apps,"In this course, you will learn how Django communicates with a database through model objects. You will explore Object-Relational Mapping (ORM) for database access and how Django models implement this pattern.  We will review the Object-Oriented (OO) pattern in Python.  You will learn basic Structured Query Language (SQL) and database modeling, including one-to-many and many-to-many relationships and how they work in both the SQL and Django models. You will learn how to use the Django console and scripts to work with your application objects interactively.",Python Programming  web  ruby (programming language)  flask  cross-site request forgery  Web Development  html  Javascript  php  django (web framework) computer-science mobile-and-web-development
Building Custom Regional Reports with Google Analytics,Coursera Project Network,Beginner,4.6,https://www.coursera.org/learn/building-custom-regional-reports-with-google-analytics,"In this 2 hours project you will learn how to build custom regional reports with Google Analytics. You will familiarize with Google Analytics and its usage, create a marketing custom regional dashboard with table and graph widgets, customize a standard geo report and scheduled the report you have designed to be sent monthly via email to a distributed regional marketing team.",Leadership and Management  Data Analysis  Marketing  Artificial Neural Networks  leadership  schedule  Writing  google analytics  Market Analysis  analytics business marketing
Developing a Google SRE Culture,Google Cloud,Advanced,4.8,https://www.coursera.org/learn/developing-a-google-sre-culture,"In many IT organizations, incentives are not aligned between developers, who strive for agility, and operators, who focus on stability. Site reliability engineering, or SRE, is how Google aligns incentives between development and operations and does mission-critical production support. Adoption of SRE cultural and technical practices can help improve collaboration between the business and IT. This course introduces key practices of Google SRE and the important role IT and business leaders play in the success of SRE organizational adoption.\n\nPrimary audience:\nIT leaders and business leaders who are interested in embracing SRE philosophy. Roles include, but are not limited to CTO, IT director/manager, engineering VP/director/manager.\n\nSecondary audience:\nOther product and IT roles such as operations managers or engineers, software engineers, service managers, or product managers may also find this content useful as an introduction to SRE.",site reliability engineering  data-informed decision-making  Receiving  Change Management  Culture  Continuous Integration  Kubernetes  Continuous Delivery  design thinking  DevOps business leadership-and-management
Conflict Resolution Skills,"University of California, Irvine",Advanced,4.1,https://www.coursera.org/learn/conflict-resolution-skills,"Resolving conflict in a positive manner is a skill that can be developed and practiced.  Being heard can be one of the most important goals of someone engaged in conflict.  Knowing how to listen and deploy appropriate communication tactics is determinative of whether a conflict will have a positive or negative resolution.  Examine listening skills, appropriate and strategic verbal and non-verbal communication skills, and how to assemble a conflict management plan likely to yield positive resolutions.\n\nUpon completing this course, you will be able to:\n1.       Use active listening skills when dealing with conflict\n2.       Choose appropriate communication tactics when dealing with conflict\n3.       Create a usable plan for managing conflict",interpersonal relationships  conflict resolution  listening  Leadership and Management  educational psychology  sociology  active listening  Communication  Employee Relations  Collaboration business business-essentials
Building a Data Science Team,Johns Hopkins University,Intermediate,4.5,https://www.coursera.org/learn/build-data-science-team,"Data science is a team sport. As a data science executive it is your job to recruit, organize, and manage the team to success. In this one-week course, we will cover how you can find the right people to fill out your data science team, how to organize them to give them the best chance to feel empowered and successful, and how to manage your team as it grows. \n\nThis is a focused course designed to rapidly get you up to speed on the process of building and managing a data science team. Our goal was to make this as convenient as possible for you without sacrificing any essential content. We've left the technical information aside so that you can focus on managing your team and moving it forward.\n\nAfter completing this course you will know.\n\n1. The different roles in the data science team including data scientist and data engineer\n2. How the data science team relates to other teams in an organization\n3. What are the expected qualifications of different data science team members\n4. Relevant questions for interviewing data scientists\n5. How to manage the onboarding process for the team\n6. How to guide data science teams to success\n7. How to encourage and empower data science teams\n\nCommitment: 1 week of study, 4-6 hours\n\nCourse cover image by JaredZammit. Creative Commons BY-SA. https://flic.kr/p/5vuWZz",Data Analysis  team management  Team Building  Machine Learning  Data Science  Business Intelligence  Communication  leadership  Leadership and Management  Data Management data-science data-analysis
"S�ren Kierkegaard - Subjectivity, Irony and the Crisis of Modernity",University of Copenhagen,Intermediate,4.8,https://www.coursera.org/learn/kierkegaard,"It is often claimed that relativism, subjectivism and nihilism are typically modern philosophical problems that emerge with the breakdown of traditional values, customs and ways of life. The result is the absence of meaning, the lapse of religious faith, and feeling of alienation that is so widespread in modernity. \n\nThe Danish thinker S�ren Kierkegaard (1813-55) gave one of the most penetrating analyses of this complex phenomenon of modernity. But somewhat surprisingly he seeks insight into it not in any modern thinker but rather in an ancient one, the Greek philosopher Socrates.\n\nIn this course created by former associate professor at the S�ren Kierkegaard Research Centre, Jon Stewart, we will explore how Kierkegaard deals with the problems associated with relativism, the lack of meaning and the undermining of religious faith that are typical of modern life. His penetrating analyses are still highly relevant today and have been seen as insightful for the leading figures of Existentialism, Post-Structuralism and Post-Modernism.",literary theory  philosophy  history  faith  dialogue  irony  thought  Poetry Writing  aporia  subjectivism arts-and-humanities philosophy
Design Thinking and Global Startup,Korea Advanced Institute of Science and Technology(KAIST),Beginner,4.8,https://www.coursera.org/learn/startup101,"This course offers a systematic engineering design methodology: Stanford Design Thinking for preparing global startup. The course empathizes the whole Stanford design thinking process, ""Empathy-Define-Ideation-Prototype-Test,"" for building a startup with a business model that has a �customer truly need� component. \n\nThis course focuses on lean �Prototype and Test� stages in Stanford Design Thinking. For this, the course introduces a novel manufacturing methodology by using 4th Industrial Revolution technology such as FaaS (Factory as a service) with AI, Bigdata, and 3D Printing. As a final achievement of this course, students will make their critical tools such as one-liner, lean-canvas, and global IR (investor relations) pitch deck for the first step of a global innovative startup founder.\n\nAlthough the lectures are designed to be self-contained, we recommend (but do not require) that students refer to the book E. Ries, The Lean Startup, Crown: New York, 2011/T. Hopkins, Selling for Dummies, Wiley: Indianapolis, 2011, and The Mechanical Design Process, D.G. Ullman, 4th Ed., McGraw-Hill, 2010, which can be helpful for this course.",investor relations  industrial design  Big Data  process management  design thinking  manufacturing process management  3D Printing  Leadership and Management  Mechanical Engineering  documents business business-strategy
Design and Analyze Secure Networked Systems,University of Colorado System,Advanced,3.4,https://www.coursera.org/learn/design-secure-networked-systems,"In this MOOC, we will learn the basic cyber security concepts, how to identify vulnerabilities/threat in a network system. We will apply CIA basic security services in the triage of recent cyberattack incidents, such as OPM data breach.   We will learn the risk management framework for analyzing the risks in a network system, and apply the basic security design principles to protect the data and secure computer systems. We will examine the trustworthiness of programs and data installed in our systems and show the proper way to verify their integrity and authenticity. We will apply principle of least privileges for controlling the shared access given to different groups of users and system processes. On Amazon Cloud instances, we will use GnuPG software to generate public/private key pair for signing/verifying documents and open source software, and for encrypting documents. We will learn how to publish software, the related signature and release key on  web server and publish public key to PGP key server for others to retrieve. We will learn Public Key Infrastructure (PKI) and  Linux utility to serve as a CA for an organization, learn how to sign certificate request for clients or servers in secure email and web applications.",cyber resilience  digital signature  risk management framework  security  Network Security  public-key cryptography  web  web server  principle of least privilege  data breaches computer-science computer-security-and-networks
"Mechanics: Motion, Forces, Energy and Gravity, from Particles to Planets",UNSW Sydney (The University of New South Wales),Intermediate,4.3,https://www.coursera.org/learn/mechanics-particles-planets,"Most of the phenomena in the world around you are, at the fundamental level, based on physics, and much of physics is based on mechanics. Mechanics begins by quantifying motion, and then explaining it in terms of forces, energy and momentum. This allows us to analyse the operation of many familiar phenomena around us, but also the mechanics of planets, stars and galaxies.\n\nThis on-demand course is recommended for senior high school and beginning university students and anyone with a curiosity about basic physics. (The survey tells us that it's often used by science teachers, too.) \n\nThe course uses rich multimedia tutorials to present the material: film clips of key experiments, animations and worked example problems, all with a friendly narrator. You'll do a range of interesting practice problems, and in an optional component, you will use your ingenuity to complete at-home experiments using simple, everyday materials.\n\nYou will need some high-school mathematics: arithmetic, a little algebra, quadratic equations, and the sine, cosine and tangent functions from trigonometry. The course does not use calculus. However, we do provide a study aid introducing the calculus that would accompany this course if it were taught in a university.\n\nBy studying mechanics in this course, you will understand with greater depth many of the wonders around you in everyday life, in technology and in the universe at large. Meanwhile, we think you'll have some fun, too.",normal (geometry)  Mechanical Engineering  classical mechanics  quantum mechanics  physics  relative change and difference  astronomy  ordered pair  energy  theory of relativity physical-science-and-engineering physics-and-astronomy
Predictive Analytics and Data Mining,University of Illinois at Urbana-Champaign,Advanced,4.1,https://www.coursera.org/learn/predictive-analytics-data-mining,"This course introduces students to the science of business analytics while casting a keen eye toward the artful use of numbers found in the digital space. The goal is to provide businesses and managers with the foundation needed to apply data analytics to real-world challenges they confront daily in their professional lives. Students will learn to identify the ideal analytic tool for their specific needs; understand valid and reliable ways to collect, analyze, and visualize data; and utilize data in decision making for their agencies, organizations or clients.",unsupervised learning  Accuracy And Precision  k-means clustering  decision tree  Small Data  Bayesian Inference  statistical classification  cluster analysis  recommender systems  data clustering algorithms business leadership-and-management
"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,Beginner,4.8,https://www.coursera.org/learn/trunk-anatomy,"WARNING: THESE VIDEOS CONTAIN IMAGES OF HUMAN DISSECTION. MAY BE DISTURBING TO SOME.\n\nHuman structure is important to all of us as it has been for millennia.  Artists, teachers, health care providers, scientists and most children try to understand the human form from stick figure drawings to electron microscopy. Learning the form of people is of great interest to us � physicians, nurses, physician assistants, emergency medical services personnel and many, many others.\n\nLearning anatomy classically involved dissection of the deceased whether directly in the laboratory or from texts, drawings, photographs or videos.  There are many wonderful resources for the study of anatomy.  Developing an understanding of the human form requires significant work and a wide range of resources.\n\nIn this course, we have attempted to present succinct videos of human anatomy.  Some will find these images to be disturbing and these images carry a need to respect the individual who decided to donate their remains to benefit our teaching and learning.\n\nAll of the dissections depicted in the following videos are from individuals who gave their remains to be used in the advancement of medical education and research after death to the Yale School of Medicine.\n\nThe sequence of videos is divided into classic anatomic sections.  Each video has a set of learning objectives and a brief quiz at the end.  Following each section there is another quiz covering the entire section in order for you to test your knowledge.  \n\nWe hope these videos will help you better understand the human form, make time that you may have in the laboratory more worthwhile if you have that opportunity and help you develop an appreciation of the wonderful intricacies of people.\n\nANATOMY OF THE CHEST, ABDOMEN, AND PELVIS WAS PRODUCED IN PART DUE TO THE GENEROUS FUNDING OF THE DAVID F. SWENSEN FUND FOR INNOVATION IN TEACHING.\n\nThis work was supported in part by the Kaplow Family Fund, Yale School of Medicine._x000c_\nCOURSE CURRICULUM:  ANATOMY OF THE THORAX, HEART, ABDOMEN AND PELVIS\n\nRECOMMENDED TEXT\t\nGRAY�S ANATOMY FOR STUDENTS, RICHARD L DRAKE, ELSEVIER.  ONLINE AND PRINT EDITIONS\n\nADDITIONAL RESOURCE\nATLAS OF HUMAN ANATOMY, FRANK H NETTER, ELSEVIER.  ONLINE AND PRINT EDITIONS.\n\nWe would like to thank all of those who have contributed to the creation of this course:\nCharles C Duncan, MD, Producer & Director, Professor of Neurosurgery, Pediatrics and Surgery (Anatomy), Yale School of Medicine\n\nWilliam B Stewart, PhD, Associate Producer, Narration, Anatomist, Chief Section of Human Anatomy, Department of Surgery, Yale School of Medicine\n\nShanta E Kapadia, MBBS, Anatomist, Lecturer in Anatomy, Section of Human Anatomy, Department of Surgery, Yale School of Medicine\n\nLinda Honan, PhD, Professor, Yale School of Nursing\n\nHarry R Aslanian, MD, Associate Professor, Department of Medicine (Gastroenterology) Yale School of Medicine \n\nJonathan Puchalski, MD, Associate Professor of Internal Medicine (Pulmonary), Yale School of Medicine\n\nMichael K. O�Brien, MD, PhD, Assistant Clinical Professor of Surgery, Yale School of Medicine\n\nMahan Mathur, MD, Assistant Professor of Radiology and Bio-Medical Imaging, Yale School of Medicine\n\nLei Wang, MLS & Kelly Perry, Technical, Yale Medical Library\n\nAnna Nasonova, Artist, Yale School of Architecture\n\nRachel Hill, Artist and Technical, Yale College\n\nPhilip Lapre, Technical, Section of Anatomy, Department of Surgery, Yale School of Medicine",medicine  urethra  auscultation  dissection  anatomical terminology  radiology  Surgery  anatomy  abdomen  physical examination life-sciences basic-science
Database Design and Diagramming in Dia,Coursera Project Network,Beginner,4.6,https://www.coursera.org/learn/database-design-and-diagramming-in-dia,"In this course you will be introduced to the process of designing a database. The old saying about a picture being worth a thousand words rings true in the database design process. Database designers document their designs using diagrams. To document your basic design, you will use a diagramming tool called �Dia�. You will review user requirements to identify the categories of data that will need to be included in the database, and then fill out those categories with details. You will also determine how the categories are logically related. Using Dia, you will document your logical database design using a standard database design diagram called an Entity Relationship Diagram. Generating the ERD is an important step in the database design process.\n\nNote: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",data retrieval  Databases  requirements analysis  relational database  table (database)  user requirements document  entity relationship model  Database Design  process  database management systems information-technology data-management
A Complete Reinforcement Learning System (Capstone),University of Alberta,Intermediate,4.6,https://www.coursera.org/learn/complete-reinforcement-learning-system,"In this final course, you will put together your knowledge from Courses 1, 2 and 3 to implement a complete RL solution to a problem. This capstone will let you see how each component---problem formulation, algorithm selection, parameter selection and representation design---fits together into a complete solution, and how to make appropriate choices when deploying RL in the real world. This project will require you to implement both the environment to stimulate your problem, and a control agent with Neural Network function approximation. In addition, you will conduct a scientific study of your learning system to develop your ability to assess the robustness of RL agents. To use RL in the real world, it is critical to (a) appropriately formalize the problem as an MDP, (b) select appropriate algorithms, (c ) identify what choices in your implementation will have large impacts on performance and (d) validate the expected behaviour of your algorithms. This capstone is valuable for anyone who is planning on using RL to solve real problems.\n\nTo be successful in this course, you will need to have completed Courses 1, 2, and 3 of this Specialization or the equivalent.\n\nBy the end of this course, you will be able to: \n\nComplete an RL solution to a problem, starting from problem formulation, appropriate algorithm selection and implementation and empirical study into the effectiveness of the solution.",Q-Learning  Human Learning  function approximation  Reinforcement Learning  approximation  Algorithms  reinforcement  curve fitting  c process control  Machine Learning data-science machine-learning
Private Equity and Venture Capital,Universit� Bocconi,Beginner,4.7,https://www.coursera.org/learn/private-equity,"The course deals with the analysis of the private equity and venture capital business. \nOver the course, students will be provided with a deep understanding of the mechanism underpinning the creation and/or development of a firm and the financial support it can get from the financial system through venture capital investment.\n\nThe course tries to discover how special financial intermediaries (called private equity investors) finance through equity companies belonging to different stages of their life-cycle, starting from the very beginning (startup and early stage) to a more mature phase (i.e. expansion, mature age, etc.) or also staying into crises and decline. \n\nPrivate equity (named venture capital when the company is in the first phases of its life cycle) deals with very different activities, such as scouting, advisory, deal-making, valuation, and financing as financial intermediaries see it. \n\nCOURSE SYLLABUS\nThe course is made up of four different modules: \nWEEK 1 - Introduction to Private Equity and Venture Capital\nWEEK 2 - Discovering Private Equity Investors: Legal Issues and Taxation\nWEEK 3 - Management of Private Equity and Venture Capital Funds\nWEEK 4 - Company Valuation And Deal Making In Private Equity Settings\nWEEK 5 - Final Test\nThroughout the course, guest speakers and practitioners will be interviewed to provide some examples of concrete applications of the contents presented.\n\nRECOMMENDED BACKGROUND\nAn understanding of the basic concepts of corporate financing accounting principles is required, while prior knowledge of private equity and venture capital is not required however it is recommended, as this is a course designed to introduce you to the fundamental concepts in private equity and venture capital.",Private Equity  private equity fund  funds  investment  Finance  venture capital financing  Venture Capital  stock valuation  stock  valuation (finance) business finance
Memoir and Personal Essay: Managing Your Relationship with the Reader,Wesleyan University,Advanced,4.2,https://www.coursera.org/learn/memoir-reader-relationship,"The blank page can be the most daunting obstacle in writing. In this course, aspiring writers will assemble a �starter kit� for approaching the blank page by developing constructive ways to think about the writing process as a whole. While subsequent courses in this series will focus on the mechanics of good writing, this course offers ways to think about the writer�s relationship to her material, and ultimately develop a writing style that is uniquely her own.",relative change and difference  film  essay writing  Poetry Writing  affordance  arts and humanities  creative writing  Storytelling  Writing  Fiction Writing arts-and-humanities music-and-art
Fundamentals of Immunology: T Cells and Signaling,Rice University,Advanced,4.8,https://www.coursera.org/learn/immunologyfundamentalstcellssignaling,"Course 2 of a three course specialization called Fundamentals of Immunology. Each course in the specialization presents material that builds on the previous course's material.\n\nThis is the second half of the journey through the defenses your body uses to keep you healthy. In the first part we learned about innate immunity and B cell function. The second part covers T cell function and coordination of the immune response.\n\nFundamentals of Immunology: T cells and Signaling builds on the first course to describe the functions of Complement, MHC presentation to T cells, T cell development and signaling. The early lectures survey cells, tissues and organs using metaphors, cartoons and models to improve understanding and retention. This course includes the structure of both MHC proteins and T cell receptors and the sources of variation. The course provides animations of gene rearrangement, developmental processes and signal cascades. Testing employs multiple choice questions testing facts, concepts, and application of principles. Questions may refer to diagrams, drawing and photographs used in lecture and reproduced in the outline.\n\nWhat You�ll Learn:\nHow complement uses adaptive and innate triggers to target pathogens. The detailed structure and coding of MHC proteins and both alpha-beta and gamma delta receptors and how these proteins interact to initiate an adaptive immune response. The basics of signaling, and the varieties of external receipt and internal activation pathways. We bine the process of putting together how signals and crosstalk control the activity of the immune system.",biochemistry  biology  immune system  cell signaling  genetics  autoimmunity  immunology  thymus  protein structure  gene life-sciences basic-science
Game Theory with Python,Coursera Project Network,Beginner,4.2,https://www.coursera.org/learn/game-theory-with-python,"In this 2-hour long project-based course, you will learn the game theoretic concepts of Two player Static and Dynamic Games, Pure and Mixed strategy Nash Equilibria for static games (illustrations with unique and multiple solutions), Example of Axelrod tournament. You will be building two player Nash games and analyze them using Python packages Nashpy and Axelrod, especially built for game theoretic analyses. Also, you will gain the understanding of computational mechanisms related to the aforementioned concepts.\n\nNote: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",math and logic  mathematical model  physics  Python Programming  game design  models of computation  Game Theory  logic  Strategy  Computer Programming math-and-logic math-and-logic
Data Science at Scale - Capstone Project,University of Washington,Advanced,3.8,https://www.coursera.org/learn/datasci-capstone,"In the capstone, students will engage on a real world project requiring them to apply skills from the entire data science pipeline: preparing, organizing, and transforming data, constructing a model, and evaluating results.    Through a collaboration with Coursolve, each Capstone project is associated with partner stakeholders who have a vested interest in your results and are eager to deploy them in practice.  These projects will not be straightforward and the outcome is not prescribed -- you will need to tolerate ambiguity and negative results!  But we believe the experience will be rewarding and will better prepare you for data science projects in practice.",entropy (information theory)  information engineering  R Programming  Communication  General Statistics  Problem Solving  Feature Engineering  Data Analysis  Python Programming  analysis data-science data-analysis
Social Media Advertising,University of Colorado Boulder,Advanced,4.5,https://www.coursera.org/learn/social-media-advertising,"Social media platforms are driven by digital advertising. As a result, social media advertising is affordable and can be purchased at almost any budget. Targeting options in social media advertising are also sophisticated. It is possible to tailor ads around a user�s behaviors (e.g., likes, posts and clicks). This course unpacks small business use cases of Facebook, Instagram and Twitter advertising. From basic campaigns, to Advanced techniques including lookalike modeling and audience retargeting, this course shows how to effectively advertise on three major social media platforms.",Marketing  media market  Social Media  Entrepreneurship  Social Media Platforms  advertising campaigns  influencer marketing  social media marketing  Digital Advertising  Advertising business marketing
Photography Capstone Project,Michigan State University,Intermediate,4.7,https://www.coursera.org/learn/photography-project,"The Capstone Project is your opportunity to take advantage of the knowledge you have gained through our journey in learning about photography, to develop a meaningful project of 10 well formed photographs based in your passion for artistic expression, or a subject for documentary exploration, insightful portraiture, imaging for work-related subjects, or some other aspect of photography.  We are confident that it will be a project that you will be excited to share with fellow Learners, and with Professors Peter Glendinning and Mark Sullivan too!  A unique feature of this Course is the individual review and responsive input you will receive directly from Peter or Mark, who will be viewing your pictures and making evaluations of all projects at the end of the Capstone.  You should plan on spending more time on this Course per week than any other in this Specialization, and much of it will be in making photographs.\n\nDuring the entire period of development, you and your fellow learners will be supporting each other as you work independently, by sharing your work-in-progress from the initial Project Plan to the final Portfolio.  At each stage, all Learners will share comments and suggestions with each other, helping each other to gauge progress and to learn about different approaches to photography and content.  By expressing your own ideas and expectations about quality in response to the work of others, you will be forming your own criteria of excellence as well.  \n\nAlong the way there will be multiple opportunities for sharing pictures and ideas through carefully designed Peer Review.  This sharing of photographs and comments with peers, and reflecting on their comments about your photos, will be an exciting learning experience that will help you grow in understanding your own photography and that of others.  Your contribution of comments to fellow Learners will not only help them understand their photographs better, but it will give you an opportunity to use the vocabulary of terms that are related to techniques, design principles, and content approaches that you have learned through your success in each of the previous Modules.  \n\nA unique aspect of this Specialization is that everyone who completes the requirements  will receive, in addition to their Certificate of Specialization from Michigan State University, access to substantial discounts on equipment, accessories, and membership benefits through Industry Partners from among the premier manufacturers of photography equipment and related items:  Fracture, Gary Fong, Gyst, Lensbaby, LensPen, Lume Cube Lighting, Photo District News, PhotoVideoEdu, Think Tank Cases/Bags.  In addition, The 'top-10' peer-reviewed Capstone projects each year will be awarded the opportunity for individual reviews, with personal responses, by world renowned photographers who have been honored with the title of Canson-Infinity� Paper Ambassadors.",Peer Review  film  Planning  doubt  digital photography  photography  real estate broker  criticism  interact  career arts-and-humanities music-and-art
The Wonders and Challenges of Bible Education,Hebrew University of Jerusalem,Advanced,4,https://www.coursera.org/learn/wonders-challenges-bible-education,"Biblical figures play a central role in understanding the richness of the text and provide extraordinary educational opportunities for engaging students in meaningful discourse about its relevance for their lives. This course will focus on examining and analyzing Biblical characters, and give you access to different pedagogical techniques of teaching Bible in the classroom. We will learn about the challenges facing the Bible teacher today, as well as different philosophical, developmental, social, and psychological approaches to addressing those challenges. We will also learn different approaches to examining Biblical stories, including: exegetical, hermeneutic, historical, literary, and gender theory. We will examine and analyze the pedagogic skills to implement these different approaches inside the classroom. We�ll also cover analysis of different Biblical characters and stories, and hear from some experts in the field of Bible studies and Bible education. \nUsing this knowledge, you will gain skills to use inside the classroom, and be able to examine and analyze different educational programs that teach Bible in order to see which best suit your approach and educational setting. If you want to teach Bible, this course is a helpful guide and overview to different approaches and techniques for doing so.\n\nLearning Outcomes: On successful completion of this module, students should be able to:\n1. Students will appreciate challenges in teaching classical Jewish texts to school students\n2.  Students will acquire certain exegetical and literary skills to analyze selected Biblical passages.\n3. Students will be exposed to a range of different approaches to presenting Biblical characters.\n4. Students will examine a range of relevant developmental, social, and psychological theories that impact the teaching of the Bible.\n5. Students will examine a range of educational programs that teach the Bible and will acquire tools to critically analyze these programs.\n6. Students will produce a course project that will reflect their understanding of the various issues raised.",gift  blame  smile  Causality  skepticism  law  hopefully  resource  belief  faith social-sciences education
"Functions, Methods, and Interfaces in Go","University of California, Irvine",Beginner,4.6,https://www.coursera.org/learn/golang-functions-methods,"Continue your exploration of the Go programming language as you learn about functions, methods, and interfaces. Topics include the implementation of functions, function types, object-orientation in Go, methods, and class instantiation. As with the first course in this series, you�ll have an opportunity to create your own Go applications so you can practice what you�re learning.",function type  go (programming language)  object-oriented programming  go! (programming language)  language  record (computer science)  java annotation  interfaces  Computer Programming  euler's totient function computer-science software-development
Search Advertising,University of Colorado Boulder,Beginner,4.4,https://www.coursera.org/learn/search-advertising,"Consumers search for virtually everything. This includes the things that small businesses do, from restaurants to bespoke products. When consumers search they get organic results along with paid results. Paid search ads are systematically designed to be relevant. As a result, they�re often useful at getting consumers where they want to go. Consumers don�t tune out paid search like other types of digital ads. \n\nSearch ads can be a small business opportunity. While larger advertisers pay massive amounts to place their ads via search, we highlight smart ways small businesses can create their own tailored search campaigns on small budgets. \n\nThis course shows small businesses how to create and execute search campaigns on Google Ads Search (formally AdWords). Through an introductory overview, students are guided through the official Google Ads Search training materials where they will ultimately earn an official Google Ads Search Certification. Beyond Google materials, practical campaign creation and optimization best practices and exercises are provided by real experts.",auctions  contextual advertising  pay per click  search algorithm  rankings  Digital Advertising  Advertising  copywriting  Marketing  Google AdWords business marketing
On Strategy : What Managers Can Learn from Philosophy - PART 1,CentraleSup�lec,Advanced,4.7,https://www.coursera.org/learn/management-philosophy,"In the expression �creative thinking�, the keyword is not creativity; the keyword is thinking. With the help of great philosophers, you will rediscover the art of thinking.\n\nTo help leaders to be rigorous even without figures, great philosophers have lots of ideas. Managers are invited to rediscover the art of thinking. They should understand the role of mental models, realize the importance of cognitive bias, agree on clear definitions and efficient criteria etc. \n\nCreativity demands the ability to unshackle ourselves from conventional ways of thinking, to ""think outside the box"". But we need to go a step further. Once outside the box, we need to construct a new box or boxes (that is, new intellectual frameworks or models) to help us structure our thinking. Only once we have done so can we generate truly game-changing ideas.",perception  demand  philosophy  Leadership and Management  Creativity  Product Management  thought  process modeling  Strategy  Planning business leadership-and-management
